id,restaurant_name
0,Qdoba Mexican Eats
1,Subway
2,Cracker Barrel Old Country Store
3,Starbucks
4,Kokoro
5,Bradley's Cheesesteaks & Hoagies
6,Justice Chicken
7,Cinnabon
8,Hibachi Express
9,HiWay Pizza Pub
10,Uncle Chen's Chinese Restaurant
11,Chipotle Mexican Grill
12,Taco Bell
13,Osaka
14,McDonald'sÂ®
15,mezeh
16,Domino's Pizza
17,Chapo's Tacos
18,Lion Coffee
19,Miss Mazy's Amazin' Chicken
20,The Ice Cream Shop
21,Pita Cabana Grill
22,Perkins Restaurant & Bakery
23,Lupitas Authentic Mexican Food
24,IHOP
25,Get Loaded
26,Dairy Queen Grill & Chill
27,Underground Burger and Crepe
28,Wings Over
29,Snap Custom Pizza
30,Lychee Restaurant #2
31,Xi'an Grill
32,Honey Baked Ham
33,Canyon Pizza
34,Secret Buns
35,Halal Vessel
36,Smash Falafel
37,Primanti Bros.
38,Fuji Jade Garden & My Thai
39,Five Guys
40,Federal Taphouse
41,The Whale Tea PennState
42,Tostada Time
43,Absolute Wings
44,Papa Johns Pizza
45,DP Dough
46,Pardon My Cheesesteak
47,Roots Natural Kitchen
48,Wendy's
49,KFC
50,Brooklyn Calzones
51,Jersey Mike's
52,Panera
53,Panda Express
54,Noodles & Company
55,18th Street Pizza
56,Burger King
57,Applebee's
58,"Prospectors, Mount Nittany Rib Company"
59,Sheetz
60,MrBeast Burger
61,Playa Bowls
62,Beijing Restaurant
63,Dunkin'
64,Red Lobster
65,Wing Nut
66,Quaker Steak & Lube
67,Firebelly Wings
68,Yallah Taco 2